"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"60","Hou2 SeTx EmComm","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","SE Tx EmComm","Group Call","8686","Danny","Always","Carrier","Off","1","1","1","Off","7","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"61","Hou2 TAC.310","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","TAC-310 USA DMRX","Group Call","310","Danny","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"62","Hou2 TAC.311","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","TAC-311 USA DMRX","Group Call","311","Danny","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"63","Hou2 Tx State","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","Texas","Group Call","3148","Danny","Always","Carrier","Off","1","1","1","Off","7","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"64","Hou2 W.W.","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","13 WW ENG","Group Call","13","Danny","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"65","Houston AMSAT","145.31000","144.71000","A-Analog","High","25K","Off","167.9","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"66","Houston Red Cros","147.08000","146.48000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"67","Hurricane Net","433.00000","433.00000","D-Digital","Low","12.5K","Off","Off","Hurricane Net","Group Call","3199","Danny","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"68","Klein CACTUS","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","Southern Plains","Group Call","3175","Danny","Always","Carrier","Off","1","1","1","Off","3","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"69","Klein Hou Metro","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","Houston Metro","Group Call","8207","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"70","Klein Houston","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","World-wide","Group Call","91","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"71","Klein Local 2","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","LOCAL 2","Group Call","2","Danny","Always","Carrier","Off","1","1","1","Off","3","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"72","Klein NARS","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","NARS Club","Private Call","3146211","Danny","Always","Carrier","Off","1","1","1","Off","3","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"73","Klein NARS TG","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","World-wide","Group Call","91","Danny","Always","Carrier","Off","1","1","1","Off","3","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"74","Klein SETECG","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","World-wide","Group Call","91","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"75","Klein Se Tx Emco","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","SE Tx EmComm","Group Call","8686","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"76","Klein TX State","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","Texas","Group Call","3148","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"77","Klein Texas Stat","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","Texas","Group Call","3148","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"78","LOUISIANA1","433.00000","433.00000","D-Digital","Low","12.5K","Off","Off","Louisiana","Group Call","3122","Danny","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"79","Magnolia REPT","440.71250","445.71250","D-Digital","Turbo","12.5K","Off","Off","TAC-310 USA DMRX","Group Call","310","Danny","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"80","Magnolia TX 3148","440.71250","445.71250","D-Digital","Turbo","12.5K","Off","Off","Texas","Group Call","3148","Danny","Always","Carrier","Off","1","1","1","Off","7","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"81","NWS 1","162.42500","136.00000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"82","NWS 2","162.45000","162.45000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"83","NWS 3","162.47500","136.00000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"84","NWS 4","162.50000","136.00000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"85","NWS 5","162.52500","136.00000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"86","NWS 6","162.55000","136.00000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"87","NWS 8","162.40000","136.00000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"88","NWS 8 MAR83B1","161.77500","161.77500","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"89","NWS 8 Mar21B1","161.65000","161.65000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"90","Spring Cactus","444.75000","449.75000","D-Digital","High","12.5K","Off","Off","Southern Plains","Group Call","3175","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"91","Spring HOU Met","444.75000","449.75000","D-Digital","High","12.5K","Off","Off","Houston Metro","Group Call","8207","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"92","Spring K5JLK","442.80000","447.80000","A-Analog","High","25K","146.2","146.2","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"93","Spring Saltgrass","442.70000","447.70000","A-Analog","High","25K","103.5","103.5","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","0","255","255"
"94","Spring TX EmComm","444.75000","449.75000","D-Digital","High","12.5K","Off","Off","SE Tx EmComm","Group Call","8686","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"95","Spring Tx State","444.75000","449.75000","D-Digital","High","12.5K","Off","Off","Texas","Group Call","3148","Danny","Always","Carrier","Off","1","1","1","Off","3","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"96","Spring V","146.68000","146.08000","A-Analog","High","25K","146.2","146.2","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"97","Channel VFO A","146.52000","146.52000","A-Analog","Low","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"98","Channel VFO B","145.12500","145.12500","D-Digital","Turbo","25K","Off","Off","World-wide","Group Call","91","Danny","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"99","** SEA-1001","156.05000","156.05000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"100","** SEA-1005","156.25000","156.25000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"101","** SEA-6","156.30000","156.30000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"102","** SEA-1007","156.35000","156.35000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"103","** SEA-8","156.40000","156.40000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"104","** SEA-9","156.45000","156.45000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"105","** SEA-10","156.50000","156.50000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"106","** SEA-11","156.55000","156.55000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"107","** SEA-12","156.60000","156.60000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"108","** SEA-13","156.65000","156.65000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"109","** SEA-14","156.70000","156.70000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"110","** SEA-15","156.75000","156.75000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"111","** SEA-16","156.80000","156.80000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"112","** SEA-17","156.85000","156.85000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"113","** SEA-1018","156.90000","156.90000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"114","** SEA-1019","156.95000","156.95000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"115","** SEA-20","161.60000","157.00000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"116","** SEA-1020","157.00000","157.00000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"117","** SEA-1021","157.05000","157.05000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"118","** SEA-1022","157.10000","157.10000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"119","** SEA-1023","157.15000","157.15000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"120","** SEA-24","161.80000","157.20000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","7","1","Marine","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
